_runtime,_step,_timestamp,run_id,train/clip_ratio/high_max,train/clip_ratio/high_mean,train/clip_ratio/low_mean,train/clip_ratio/low_min,train/clip_ratio/region_mean,train/completions/clipped_ratio,train/completions/max_length,train/completions/max_terminated_length,train/completions/mean_length,train/completions/mean_terminated_length,train/completions/min_length,train/completions/min_terminated_length,train/diagnostics/group_sampling/reward_fn/all_fail_fraction,train/diagnostics/group_sampling/reward_fn/all_pass_fraction,train/diagnostics/group_sampling/reward_fn/degenerate_fraction,train/diagnostics/group_sampling/reward_fn/mean_detected_per_group,train/diagnostics/group_sampling/reward_fn/pass_at_1,train/diagnostics/group_sampling/reward_fn/rescuable_all_fail_fraction,train/diagnostics/group_sampling/reward_fn/scalar_range_mean,train/diagnostics/group_sampling/reward_fn/scalar_std_mean,train/diagnostics/group_sampling/reward_fn/solved_fraction_pass_at_k,train/diagnostics/netlist_diversity/cumulative_unique_seen,train/diagnostics/netlist_diversity/effective_batch_unique_count,train/diagnostics/netlist_diversity/effective_batch_unique_fraction,train/diagnostics/netlist_diversity/unique_in_generation_batch,train/entropy,train/epoch,train/frac_reward_zero_std,train/gdpo/advantage_mean,train/gdpo/advantage_std,train/gdpo/missing_row_fraction,train/gdpo/objective_active_fraction/activation,train/gdpo/objective_active_fraction/detection,train/gdpo/objective_active_fraction/fidelity,train/gdpo/objective_active_fraction/format,train/generation/tokens_per_sec,train/generation/total_time_sec,train/global_step,train/grad_norm,train/kl,train/learning_rate,train/loss,train/loss/accumulation_scale,train/num_tokens,train/reward,train/reward_std,train/rewards/reward_fn/component_mean/activation,train/rewards/reward_fn/component_mean/detected_faults_acc,train/rewards/reward_fn/component_mean/detection,train/rewards/reward_fn/component_mean/expected_output_acc,train/rewards/reward_fn/component_mean/fault_detected_by_pred_input_vector_acc,train/rewards/reward_fn/component_mean/fault_mention,train/rewards/reward_fn/component_mean/fault_site_activated_acc,train/rewards/reward_fn/component_mean/fidelity,train/rewards/reward_fn/component_mean/format,train/rewards/reward_fn/component_mean/format_compliance,train/rewards/reward_fn/component_mean/input_vector_acc,train/rewards/reward_fn/component_mean/pi_completeness,train/rewards/reward_fn/component_mean/pred_vs_fault_sim_acc,train/rewards/reward_fn/component_mean/sim_table_present,train/rewards/reward_fn/component_mean/simulation_valid,train/rewards/reward_fn/component_mean/simulator_error,train/rewards/reward_fn/component_mean/tool_response_fidelity,train/rewards/reward_fn/mean,train/rewards/reward_fn/raw_mean,train/rewards/reward_fn/std,train/sampling/importance_sampling_ratio/max,train/sampling/importance_sampling_ratio/mean,train/sampling/importance_sampling_ratio/min,train/sampling/sampling_logp_difference/max,train/sampling/sampling_logp_difference/mean,train/step_time,train/tools/call_count,train/tools/call_frequency,train/tools/failure_count,train/tools/failure_frequency,train/tools/failure_rate
8906.886433395,1854,1788988858.0933065,5gmb8rfn,0,0,0,0,0,0.04687500147459408,11321.25,6362.25,3474.9653523763022,3103.999557495117,1541.375,1541.375,0.09722222511967023,0.055555557211240135,0.027777778605620067,8.65277803937594,0.5407986274609963,0.6666666666666666,1.2547759997347991,0.4772047310446699,0.9027777823309103,59,59,0.8194444444444444,3,0.0370787116989959,0.001406799531066823,0.027777778605620067,-1.875580274424138e-09,0.9999097759524981,0,0.9166666716337204,0.8472222288449606,0.9027777823309103,0.9027777823309103,979.9637500000002,173.23562500000003,1,0.042236328125,0,0,0.1521,0.04166666666666643,7766312.0,-1.765372940424707e-09,0.9738555823763212,0.6527777773638567,0.8515625,0.5407986125598351,0.022569444496184587,0.5407986125598351,0.8515625,0.6527777773638567,0.35002708931763965,0.49698496361573535,0.809461789826552,0.805555559694767,0.8984490409493446,0.9114583308498064,0.9609375,0.9123263855775198,0.013020833255723119,0.9058259452382723,-1.8755801263944014e-09,0.7988477163016796,0.9999097759524981,2.887327571709951,0.9996861815452576,7.408136259592489e-12,26.760687589645386,0.011354336379251132,6367.601682793349,15.75,0.9765625273187956,0.041666666666666664,0.005103458029528459,0.0024509803921568627
14662.422758548,3129,1788994613.6296635,5gmb8rfn,0,0,0,0,0,0.04861111240461469,10464.375,5923.375,3006.157201131185,2614.1964721679688,1196.6666666666667,1196.6666666666667,0.0416666679084301,0.18055556093653044,0.013888889302810034,10.986111372709274,0.6866319607943296,0.6666666666666666,1.1617048320670922,0.42633653959880274,0.9583333358168602,106,71,0.9861111111111112,3,0.03897174856926237,0.002813599062133646,0.013888889302810034,-2.5358636857042427e-09,0.9999033957719803,0,0.7916666753590107,0.7777777848144373,0.9583333358168602,0.9583333358168602,1005.4250000000002,153.36658333333335,2,0.04638671875,0,5.000000000000001e-07,0.1615,0.04166666666666643,14863997.0,-4.145177673331446e-10,0.9441728616754214,0.7256944496184587,0.8368055646618208,0.6866319483766953,0.02170138891475896,0.6866319483766953,0.8368055646618208,0.7256944496184587,0.44144247223933536,0.6345031081388394,0.8155381853381792,0.8732638880610466,0.9125854025284449,0.919270838300387,0.9626736169060072,0.922743059694767,0.006944444651405017,0.9157503967483839,-2.5358636301930915e-09,0.9880692033718029,0.9999033957719803,2.8903715014457703,0.9996209070086479,1.100235337135683e-11,26.40104118982951,0.012809564204265675,5732.492222195491,15.291666666666666,0.9739583532015482,0.041666666666666664,0.0052129547111690044,0.0026041666666666665
20043.637159933,4404,1788999994.8441315,5gmb8rfn,0,0,0,0,0,0.028645833876604836,9715.375,5763.125,2705.781321207682,2453.1631215413413,975.5416666666666,975.5416666666666,0.0416666679084301,0.11111111442248027,0.013888889302810034,9.97222258647283,0.6232639116545519,0.6666666666666666,1.2555209671457608,0.4565528482198715,0.9583333358168602,140,70,0.9722222222222222,3,0.03892417548437758,0.004220398593200469,0.013888889302810034,-6.5709983380439025e-09,0.9999203557769457,0,0.8750000049670538,0.8472222276031971,0.9444444477558136,0.9583333358168602,1039.0645833333335,141.42475,3,0.048828125,0.0003221752356049971,1.0000000000000002e-06,0.0946,0.04166666666666643,21288721.0,-6.5001913203873345e-09,0.9565704415241877,0.6857638880610466,0.875,0.6232638893028101,0.07031249953433871,0.6232638893028101,0.875,0.6857638880610466,0.4149761460721493,0.5781995033224424,0.8298610970377922,0.8706597238779068,0.9295580337444941,0.9383341545859972,0.9739583333333334,0.9383680621782938,0.007812500232830644,0.9355044638117155,-6.570998153006731e-09,0.9066100617249807,0.9999203557769457,2.8698997497558594,0.999586654206117,4.487673373328027e-12,26.88833983739217,0.014719762412520746,5359.401368293911,15.666666666666666,0.9887152935067812,0.041666666666666664,0.009492315196742615,0.0024509803921568627
25776.245725609,5679,1789005727.4526796,5gmb8rfn,0,0,0,0,0,0.04079861224939426,10290.583333333334,5817.791666666667,2861.874226888021,2525.12766011556,950,950,0.06944444651405017,0.0833333358168602,0.013888889302810034,8.930555899937948,0.5581597437461218,0.8,1.2534159918626149,0.48938919603824615,0.930555559694767,172,70,0.9722222222222222,3,0.03905718873041527,0.005627198124267292,0.013888889302810034,-3.4665896912292973e-09,0.9999217614531517,0,0.8888888942698637,0.8472222288449606,0.930555559694767,0.9166666716337204,976.0908333333333,151.7470416666667,4,0.059326171875,0.0004228307596273832,1.5e-06,0.0824,0.04166666666666643,27990384.0,-2.558364922689016e-09,0.9581862762570381,0.6484375049670538,0.8680555522441864,0.5581597251196703,0.03993055643513799,0.5581597251196703,0.8680555522441864,0.6484375049670538,0.36839614373942214,0.5178475634505352,0.8237846915920576,0.8689236119389534,0.9225500971078873,0.9314236119389534,0.9678819502393404,0.93315972139438,0.0026041667442768812,0.9300038466850916,-3.4665895524514192e-09,0.8198407304783663,0.9999217589696249,2.8473256727059684,0.9995764568448067,9.087472367580595e-12,25.78125,0.014706289395689964,5712.827670358121,15.958333333333334,0.9861111342906952,0.16666666666666666,0.009701387879128257,0.010130718954248366
31253.443598803,6954,1789011204.650575,5gmb8rfn,0,0,0,0,0,0.03211805612469713,10507.625,5875.333333333333,2714.5095977783203,2420.6358083089194,934.0833333333334,934.0833333333334,0.013888889302810034,0.13888889302810034,0,10.444444765647253,0.6527777978529533,1,1.255827176074187,0.46361654189725715,0.9861111119389534,194,71,0.9861111111111112,3,0.041894668635601796,0.007033997655334115,0,-3.88051078076268e-09,0.9999222730596861,0,0.8611111181477705,0.8472222300867239,0.9861111119389534,0.9861111119389534,976.3633333333333,141.954375,5,0.05126953125,0.0003172113553849461,2.0000000000000003e-06,0.181,0.04166666666666643,34565947.0,-2.4576569367569987e-09,0.9600851684808731,0.7126736106971899,0.862847218910853,0.6527777792265018,0.031250000232830644,0.6527777792265018,0.862847218910853,0.7126736106971899,0.43195363444586593,0.6044084342817465,0.8188657263914744,0.8880208333333334,0.9249008372426033,0.9296061222751936,0.9704861169060072,0.9305555572112402,0.0026041667442768812,0.9267337421576182,-3.880510725251529e-09,0.9475573363403479,0.9999222904443741,2.9532581567764282,0.9996277168393135,9.058770997234818e-12,25.880208333333332,0.015102996529700855,5453.814009319991,15.583333333333334,0.9756944626569748,0,0.0008680555814256271,0
38986.637034272,8810,1789018937.8440173,5gmb8rfn,0,0,0,0,0,0.03211805627991756,10056.291666666666,5016.458333333333,2536.4254099527993,2254.8616333007812,911.5416666666666,911.5416666666666,0,0.055555557211240135,0,10.31944473584493,0.6449652959903082,,1.3859628985325496,0.5229936558753252,1,225,71,0.9861111111111112,3,0.04203151067971097,0.008440797186400938,0,-4.087471477028555e-09,0.9999259213606516,0,0.9305555584530035,0.9444444465140501,1,1,901.6783333333332,147.18191666666667,6,0.05419921875,0.0003239509666930947,2.5e-06,0.1446,0.04166666666666643,40740149.0,-5.781961178360125e-09,0.9982248966892561,0.7230902761220932,0.8888888781269392,0.6449652723968029,0.041666666666666664,0.6449652723968029,0.8888888781269392,0.7230902761220932,0.4202952980995178,0.5964656720558802,0.8305844888091087,0.8880208333333334,0.9282837981979052,0.9391547292470932,0.97222222139438,0.9392361094554266,0.008680555814256271,0.9369949946800867,-4.087471366006253e-09,0.9396201993028322,0.9999259312947592,2.7996945480505624,0.9995008160670599,1.481650652297854e-11,25.533854166666668,0.016217656705218058,5579.874607441947,16.416666666666668,1.0078125248352687,0.4166666666666667,0.009252070604513088,0.017361111111111112
43937.05152429,10085,1789023888.258507,5gmb8rfn,0,0,0,0,0,0.03125000069849193,8664.583333333334,5379.958333333333,2584.7283782958984,2326.2520955403647,803.8333333333334,803.8333333333334,0.11111111442248027,0.0416666679084301,0.027777778605620067,8.805555780728659,0.5503472362955412,0.75,1.2604737132787704,0.49576766168077785,0.8888888955116272,258,72,1,3,0.04016697748496275,0.00984759671746776,0.027777778605620067,-6.963990726675343e-10,0.9999206066131592,0,0.9305555584530035,0.8472222276031971,0.8888888955116272,0.8888888955116272,1118.0458333333333,124.34304166666668,7,0.04931640625,0.0003739996009528568,3e-06,0.0934,0.04166666666666643,46948668.0,1.555611586305054e-09,0.9563431342442831,0.66753472139438,0.8697916691501936,0.5503472251196703,0.05208333387660483,0.5503472251196703,0.8697916691501936,0.66753472139438,0.34476387811203796,0.5087640204777321,0.834635391831398,0.8680555547277132,0.9381408666570982,0.9374678482611974,0.9748263880610466,0.94965277860562,0.007812500155220429,0.935296801229318,-6.963988876303636e-10,0.8116218956808249,0.9999206016461054,2.834182192881902,0.9994725411136945,1.562192993554027e-11,25.520249605178833,0.016301486175507307,4931.13264827989,15.833333333333334,0.993055577079455,0.16666666666666666,0.005708215447763602,0.009029927760577915
49123.328458784,11360,1789029074.5354025,5gmb8rfn,0,0,0,0,0,0.03385416705471774,8842.416666666666,5467.041666666667,2733.197967529297,2464.1927337646484,960.2083333333334,960.2083333333334,0.013888889302810034,0.11111111318071683,0,9.444444636503855,0.5902777897814909,1,1.2891093983004491,0.4899331131018698,0.9861111119389534,283,70,0.9722222222222222,3,0.038953467475948855,0.011254396248534583,0,-5.633208297976348e-09,0.9999084820350012,0,0.8611111169060072,0.8750000049670538,0.9861111119389534,0.9722222238779068,1156.7899999999997,137.732,8,0.2490234375,0.0008335331225453046,3.5e-06,0.0943,0.04166666666666643,53354640.0,-4.708353165683299e-09,0.9889480148752531,0.6727430584530035,0.890625,0.59027777860562,0.0772569455827276,0.59027777860562,0.890625,0.6727430584530035,0.4060240226487319,0.5433097071945667,0.8344907114903132,0.8819444427887598,0.9336291775107384,0.9461534296472868,0.9713541666666666,0.9513888905445734,0.006944444651405017,0.9417151634891828,-5.633208022733556e-09,0.8668338507413864,0.999908484518528,2.821226825316747,0.9995120018720627,2.1915652199751168e-11,25.415364583333332,0.014476563897915184,5164.444753404707,15.791666666666666,0.9835069651405016,0.16666666666666666,0.005068027103940646,0.009259259259259259
53478.2132285,12635,1789033429.42015,5gmb8rfn,0,0,0,0,0,0.02256944488423566,7773.833333333333,4709.5,2297.7708892822266,2099.2008743286133,884.1666666666666,884.1666666666666,0.0416666679084301,0.1666666716337204,0.027777778605620067,9.069444765647253,0.5668402978529533,0.5,1.1604144093580544,0.45827982768726844,0.9583333345750967,316,72,1,3,0.040094046935943574,0.012661195779601406,0.027777778605620067,3.836710729214025e-10,0.9998868554830551,0,0.7500000086923441,0.7916666741172472,0.9583333345750967,0.9583333345750967,1231.3420833333332,111.97491666666663,9,0.054443359375,0.0007010609212253863,4.000000000000001e-06,0.0958,0.04166666666666643,59167816.0,1.0821630166043168e-09,0.9354899177948633,0.6979166691501936,0.8697916666666666,0.5668402804682652,0.10850694434096415,0.5668402804682652,0.8697916666666666,0.6979166691501936,0.38068682327866554,0.5262159835547209,0.843749980131785,0.910590281089147,0.954042154053847,0.9609035948912302,0.9791666716337204,0.9609375049670538,0.006076388992369175,0.9571489791075388,3.8367112843255374e-10,0.8437676119307677,0.9998868579665819,2.8517082085212073,0.9994746968150139,2.9355910014110086e-11,25.508446375528973,0.01649544946849346,4336.543451864272,16.166666666666668,0.9973958432674408,0.5833333333333334,0.014056381614257893,0.020833333333333332
58172.877206649,13910,1789038124.0841465,5gmb8rfn,0,0,0,0,0,0.02777777813995878,8892.875,4985.375,2511.1111501057944,2257.971878051758,1052.4166666666667,1052.4166666666667,0.0416666679084301,0.1666666716337204,0,10.277778108914694,0.6423611318071684,1,1.1805869167049725,0.4506180789321661,0.9583333358168602,339,72,1,3,0.040294676953635644,0.01406799531066823,0,-3.026798501652254e-09,0.9999185999234518,0,0.8194444527228674,0.7916666753590107,0.9583333358168602,0.9583333358168602,1171.1149999999998,120.44195833333335,10,0.056640625,0.0007666914943911252,4.5e-06,0.1447,0.04166666666666643,65190968.0,-2.9168506614681475e-09,0.9382931888103485,0.6840277761220932,0.9157986094554266,0.6423611094554266,0.05815972310180465,0.6423611094554266,0.9157986094554266,0.6840277761220932,0.4226562480131785,0.5960491361717383,0.8392650187015533,0.9253472263614336,0.9555171901981035,0.9618055547277132,0.9748263905445734,0.9626736094554266,0.0034722223257025084,0.9601949378848076,-3.0267983351188e-09,0.927701760083437,0.9999185875058174,2.9516006211439767,0.9995190600554148,2.979404901759957e-11,25.361005783081055,0.01608816908750062,4673.319703662768,15.5,0.976562517384688,0,0,0
